state_id,description,battery_level,threat_status,mission_criticality,expert_choice,agent_choice,expert_agreement,reward,power_consumption,security_level,power_efficiency_score,security_appropriateness_score,overall_performance
0,CRITICAL+NORMAL+ROUTINE,CRITICAL,NORMAL,ROUTINE,HIGHT,ASCON,0,3.5731924431552375,5.8,3,0.3448275862068966,8,3.5731924431552375
1,CRITICAL+NORMAL+IMPORTANT,CRITICAL,NORMAL,IMPORTANT,SPECK,SPECK,1,3.599201769942687,5.8,3,0.3448275862068966,8,3.599201769942687
2,CRITICAL+CONFIRMING+ROUTINE,CRITICAL,CONFIRMING,ROUTINE,KYBER,KYBER,1,4.200662917793079,6.2,8,0.3225806451612903,6,4.200662917793079
3,CRITICAL+CONFIRMING+IMPORTANT,CRITICAL,CONFIRMING,IMPORTANT,KYBER,KYBER,1,4.206325021595717,6.2,8,0.3225806451612903,6,4.206325021595717
4,CRITICAL+CONFIRMED+ROUTINE,CRITICAL,CONFIRMED,ROUTINE,FALCON,FALCON,1,1.8129061281353898,7.1,8,0.28169014084507044,10,1.8129061281353898
5,CRITICAL+CONFIRMED+IMPORTANT,CRITICAL,CONFIRMED,IMPORTANT,FALCON,KYBER,0,2.9981270571214655,6.2,8,0.3225806451612903,10,2.9981270571214655
6,LOW+NORMAL+ROUTINE,LOW,NORMAL,ROUTINE,KYBER,KYBER,1,2.9977864383546806,6.2,8,0.6451612903225806,3,2.9977864383546806
7,LOW+NORMAL+IMPORTANT,LOW,NORMAL,IMPORTANT,KYBER,KYBER,1,3.019356989102404,6.2,8,0.6451612903225806,3,3.019356989102404
8,LOW+CONFIRMING+ROUTINE,LOW,CONFIRMING,ROUTINE,KYBER,KYBER,1,3.3953563908552455,6.2,8,0.6451612903225806,6,3.3953563908552455
9,LOW+CONFIRMING+IMPORTANT,LOW,CONFIRMING,IMPORTANT,DILITHIUM,DILITHIUM,1,3.4027090760273193,6.5,8,0.6153846153846154,6,3.4027090760273193
10,LOW+CONFIRMED+ROUTINE,LOW,CONFIRMED,ROUTINE,FALCON,FALCON,1,2.6018960635813144,7.1,8,0.5633802816901409,10,2.6018960635813144
11,LOW+CONFIRMED+IMPORTANT,LOW,CONFIRMED,IMPORTANT,FALCON,FALCON,1,2.601127485517313,7.1,8,0.5633802816901409,10,2.601127485517313
12,MEDIUM+NORMAL+ROUTINE,MEDIUM,NORMAL,ROUTINE,DILITHIUM,DILITHIUM,1,3.385804414325394,6.5,8,0.9230769230769231,3,3.385804414325394
13,MEDIUM+NORMAL+IMPORTANT,MEDIUM,NORMAL,IMPORTANT,DILITHIUM,DILITHIUM,1,3.399258342081256,6.5,8,0.9230769230769231,3,3.399258342081256
14,MEDIUM+CONFIRMING+ROUTINE,MEDIUM,CONFIRMING,ROUTINE,DILITHIUM,DILITHIUM,1,3.7882595199070623,6.5,8,0.9230769230769231,6,3.7882595199070623
15,MEDIUM+CONFIRMING+IMPORTANT,MEDIUM,CONFIRMING,IMPORTANT,SPHINCS,SPHINCS,1,3.8039308823983755,6.8,8,0.8823529411764706,6,3.8039308823983755
16,MEDIUM+CONFIRMED+ROUTINE,MEDIUM,CONFIRMED,ROUTINE,FALCON,FALCON,1,3.8125685775612115,7.1,8,0.8450704225352114,10,3.8125685775612115
17,MEDIUM+CONFIRMED+IMPORTANT,MEDIUM,CONFIRMED,IMPORTANT,FALCON,FALCON,1,3.789690645969892,7.1,8,0.8450704225352114,10,3.789690645969892
18,GOOD+NORMAL+ROUTINE,GOOD,NORMAL,ROUTINE,SPHINCS,SPHINCS,1,3.4043829718336416,6.8,8,1.1764705882352942,3,3.4043829718336416
19,GOOD+NORMAL+IMPORTANT,GOOD,NORMAL,IMPORTANT,SPHINCS,SPHINCS,1,3.4081603244236915,6.8,8,1.1764705882352942,3,3.4081603244236915
20,GOOD+CONFIRMING+ROUTINE,GOOD,CONFIRMING,ROUTINE,SPHINCS,SPHINCS,1,3.8058846477626225,6.8,8,1.1764705882352942,6,3.8058846477626225
21,GOOD+CONFIRMING+IMPORTANT,GOOD,CONFIRMING,IMPORTANT,FALCON,FALCON,1,4.2003705728029574,7.1,8,1.1267605633802817,6,4.2003705728029574
22,GOOD+CONFIRMED+ROUTINE,GOOD,CONFIRMED,ROUTINE,FALCON,FALCON,1,4.60309759168996,7.1,8,1.1267605633802817,10,4.60309759168996
23,GOOD+CONFIRMED+IMPORTANT,GOOD,CONFIRMED,IMPORTANT,FALCON,FALCON,1,4.6048957339400065,7.1,8,1.1267605633802817,10,4.6048957339400065
24,HIGH+NORMAL+ROUTINE,HIGH,NORMAL,ROUTINE,FALCON,FALCON,1,3.8095773717439037,7.1,8,1.4084507042253522,3,3.8095773717439037
25,HIGH+NORMAL+IMPORTANT,HIGH,NORMAL,IMPORTANT,FALCON,FALCON,1,3.799019354498017,7.1,8,1.4084507042253522,3,3.799019354498017
26,HIGH+CONFIRMING+ROUTINE,HIGH,CONFIRMING,ROUTINE,FALCON,FALCON,1,4.599366412586611,7.1,8,1.4084507042253522,6,4.599366412586611
27,HIGH+CONFIRMING+IMPORTANT,HIGH,CONFIRMING,IMPORTANT,FALCON,FALCON,1,4.598782389767755,7.1,8,1.4084507042253522,6,4.598782389767755
28,HIGH+CONFIRMED+ROUTINE,HIGH,CONFIRMED,ROUTINE,FALCON,FALCON,1,5.003776458032816,7.1,8,1.4084507042253522,10,5.003776458032816
29,HIGH+CONFIRMED+IMPORTANT,HIGH,CONFIRMED,IMPORTANT,FALCON,FALCON,1,4.999937265000652,7.1,8,1.4084507042253522,10,4.999937265000652
